TFLinkID	UniprotID.TF	Name.TF	Organism	Detection.method	PubmedID	Source.database	Assembly	Chromosome	Start	End	Strand
TFLinkLT09283358	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrX	7118635	7118650	-
TFLinkLT09283359	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIV	3625825	3625840	+
TFLinkLT09283360	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIV	3625825	3625840	+
TFLinkLT09283361	Q10655	elt-2	Caenorhabditis elegans	inferred by curator	15733671	ORegAnno	ce10	chrII	5235937	5235944	+
TFLinkLT09283362	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrX	15293044	15293059	+
TFLinkLT09283363	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrX	11767582	11767597	+
TFLinkLT09283364	Q10655	elt-2	Caenorhabditis elegans	inferred by curator	15734735	ORegAnno	ce10	chrIV	383495	383500	-
TFLinkLT09283365	Q94126	ces-2	Caenorhabditis elegans	inferred by curator	16310763	ORegAnno	ce10	chrIII	3744956	3744965	+
TFLinkLT09283366	Q21361	atf-2	Caenorhabditis elegans	inferred by curator	16310763	ORegAnno	ce10	chrIII	3744956	3744965	+
TFLinkLT09283367	Q21446	lin-14	Caenorhabditis elegans	inferred by curator	16314527	ORegAnno	ce10	chrI	13639613	13639618	-
TFLinkLT09283368	Q21446	lin-14	Caenorhabditis elegans	inferred by curator	16314527	ORegAnno	ce10	chrI	13639363	13639368	-
TFLinkLT09283369	P13528	unc-86	Caenorhabditis elegans	inferred by curator	14529613	ORegAnno	ce10	chrV	10263832	10263861	-
TFLinkLT09283370	P09088	mec-3	Caenorhabditis elegans	inferred by curator	14529613	ORegAnno	ce10	chrV	10263832	10263861	-
TFLinkLT09283371	P52906	unc-30	Caenorhabditis elegans	inferred by curator	10414952	ORegAnno	ce10	chrIII	10186353	10186358	-
TFLinkLT09283372	P52906	unc-30	Caenorhabditis elegans	inferred by curator	10414952	ORegAnno	ce10	chrIII	12942443	12942448	+
TFLinkLT09283373	P52906	unc-30	Caenorhabditis elegans	inferred by curator	10414952	ORegAnno	ce10	chrIII	12942493	12942498	+
TFLinkLT09283374	O17532	daf-3	Caenorhabditis elegans	inferred by curator	9834189	ORegAnno	ce10	chrX	12467665	12467669	+
TFLinkLT09283375	O18214	mab-3	Caenorhabditis elegans	inferred by curator	15935777	ORegAnno	ce10	chrII	10210111	10210123	+
TFLinkLT09283376	O18214	mab-3	Caenorhabditis elegans	inferred by curator	15935777	ORegAnno	ce10	chrII	10211733	10211745	+
TFLinkLT09283377	Q7Z1Q1	peb-1	Caenorhabditis elegans	inferred by curator	11203704	ORegAnno	ce10	chrX	12467654	12467659	+
TFLinkLT09283378	O18214	mab-3	Caenorhabditis elegans	inferred by curator	9927589	ORegAnno	ce10	chrX	5100834	5100846	+
TFLinkLT09283379	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIII	5795937	5795952	+
TFLinkLT09283380	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIII	5795937	5795952	+
TFLinkLT09283381	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIII	7833708	7833723	+
TFLinkLT09283382	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrII	10912882	10912897	+
TFLinkLT09283383	P41936	ceh-22	Caenorhabditis elegans	inferred by curator	7925019	ORegAnno	ce10	chrX	12467557	12467571	+
TFLinkLT09283384	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	14738885	ORegAnno	ce10	chrV	10671146	10671156	+
TFLinkLT09283385	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrX	7118635	7118650	-
TFLinkLT09283386	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrX	15293044	15293059	+
TFLinkLT09283387	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrX	11767582	11767597	+
TFLinkLT09283388	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15489294	ORegAnno	ce10	chrIII	13718592	13718597	-
TFLinkLT09283389	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15489294	ORegAnno	ce10	chrIII	13718529	13718534	-
TFLinkLT09283390	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15489294	ORegAnno	ce10	chrIII	13718511	13718516	-
TFLinkLT09283391	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15489294	ORegAnno	ce10	chrIII	13718500	13718505	-
TFLinkLT09283392	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15489294	ORegAnno	ce10	chrIII	13718479	13718484	-
TFLinkLT09283393	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15489294	ORegAnno	ce10	chrIII	13718433	13718438	-
TFLinkLT09283394	G5EE86	ttx-3	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIV	609688	609703	+
TFLinkLT09283395	P41935	ceh-10	Caenorhabditis elegans	inferred by curator	15177025	ORegAnno	ce10	chrIV	609688	609703	+
TFLinkLT09283396	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15375261	ORegAnno	ce10	chrV	10671069	10671076	+
TFLinkLT09283397	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15375261	ORegAnno	ce10	chrV	10671091	10671098	+
TFLinkLT09283398	G5EFF5	daf-12	Caenorhabditis elegans	inferred by curator	15375261	ORegAnno	ce10	chrX	12467611	12467616	+
TFLinkLT09283399	G5ECM2	dcp-66	Caenorhabditis elegans	inferred by curator	16159881	ORegAnno	ce10	chrX	12731543	12731552	+
TFLinkLT09283400	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15314642	ORegAnno	ce10	chrI	2065637	2065650	+
TFLinkLT09283401	Q09555	daf-19	Caenorhabditis elegans	inferred by curator	15314642	ORegAnno	ce10	chrIII	4815904	4815917	-
TFLinkLT09283402	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrII	77321	77327	-
TFLinkLT09283403	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	12261258	12261264	+
TFLinkLT09283404	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	11408081	11408087	-
TFLinkLT09283405	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	2871220	2871226	-
TFLinkLT09283406	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	2801406	2801412	-
TFLinkLT09283407	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrI	3853687	3853693	+
TFLinkLT09283408	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	4122752	4122758	-
TFLinkLT09283409	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrII	5578293	5578299	+
TFLinkLT09283410	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrII	9227537	9227543	-
TFLinkLT09283411	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	9877172	9877178	+
TFLinkLT09283412	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	9877194	9877200	+
TFLinkLT09283413	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	8776494	8776500	+
TFLinkLT09283414	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	5676377	5676383	-
TFLinkLT09283415	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	11384960	11384966	+
TFLinkLT09283416	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrIV	17450592	17450598	-
TFLinkLT09283417	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	7637357	7637363	-
TFLinkLT09283418	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	5868250	5868256	-
TFLinkLT09283419	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	20752899	20752905	+
TFLinkLT09283420	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	20752951	20752957	+
TFLinkLT09283421	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrIV	5388706	5388712	-
TFLinkLT09283422	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	7517711	7517717	-
TFLinkLT09283423	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	7517794	7517800	-
TFLinkLT09283424	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrX	7518010	7518016	-
TFLinkLT09283425	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	8203334	8203340	+
TFLinkLT09283426	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrII	8751692	8751698	+
TFLinkLT09283427	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrIV	6127772	6127778	-
TFLinkLT09283428	Q17381	pha-4	Caenorhabditis elegans	inferred by curator	15492775	ORegAnno	ce10	chrV	4800716	4800722	+
TFLinkLT09283429	P34708	tra-1	Caenorhabditis elegans	inferred by curator	11003845	ORegAnno	ce4	chrII	9731996	9732016	+
