Protein name,Uniprot ID,NCBI Gene ID,Function
NCF4,Q15080,4689,target gene
ETV3,P41162,2117,transcription factor and target gene
SCOC,Q9UIL1,60592,target gene
SNAP25,P60880,6616,target gene
RFC4,P35249,5984,target gene
GPX3,P22352,2878,target gene
CLCN6,P51797,1185,target gene
LYL1,P12980,4066,transcription factor and target gene
PHB2,Q99623,11331,transcription factor and target gene
ERRFI1,Q9UJM3,54206,target gene
C11orf71,Q6IPW1,54494,target gene
KDM2A,Q9Y2K7,22992,transcription factor and target gene
TFEB,P19484,7942,transcription factor
ECM1,Q16610,1893,target gene
ACTR2,P61160,10097,target gene
MEIS1,O00470,4211,transcription factor and target gene
REXO4,Q9GZR2,57109,target gene
GCSAM,Q8N6F7,257144,target gene
TNFRSF10D,Q9UBN6,8793,target gene
CZIB,Q9NWV4,54987,target gene
IL7,P13232,3574,target gene
FRY,Q5TBA9,10129,target gene
HMBS,P08397,3145,target gene
MC2R,Q01718,4158,target gene
HNF1B,P35680,6928,transcription factor and target gene
UBP1,Q9NZI7,7342,transcription factor and target gene
NDUFB5,O43674,4711,target gene
CYP4F12,Q9HCS2,66002,target gene
CCL3,P10147,6348,target gene
BDKRB1,P46663,623,target gene
PIAS1,O75925,8554,transcription factor
HLA-DMB,P28068,3109,target gene
KDR,P35968,3791,target gene
NAIP,Q13075,4671,target gene
CAV1,Q03135,857,target gene
FOXE1,O00358,2304,transcription factor and target gene
PIN1,Q13526,5300,target gene
PLAG1,Q6DJT9,5324,transcription factor
PTCRA,Q6ISU1,171558,target gene
AASDHPPT,Q9NRN7,60496,target gene
PCMT1,P22061,5110,target gene
DISC1,Q9NRI5,27185,target gene
THRA,P10827,7067,transcription factor
BHMT,Q93088,635,target gene
OLFM4,Q6UX06,10562,target gene
ZNF451,Q9Y4E5,26036,target gene
NFKB1,P19838,4790,transcription factor and target gene
RPL15,P61313,6138,target gene
SIDT1,Q9NXL6,54847,target gene
NR2F1,P10589,7025,transcription factor and target gene
EXOSC9,Q06265,5393,target gene
NOLC1,Q14978,9221,target gene
ELN,P15502,2006,target gene
PRKCI,P41743,5584,target gene
TYRP1,P17643,7306,target gene
ERH,P84090,2079,target gene
CERS2,Q96G23,29956,target gene
ARHGEF1,Q92888,9138,target gene
FSHB,P01225,2488,target gene
SNAI3,Q3KNW1,333929,target gene
POLDIP2,Q9Y2S7,26073,target gene
MMP3,P08254,4314,target gene
SFRP2,Q96HF1,6423,target gene
RHOG,P84095,391,target gene
SCN8A,Q9UQD0,6334,target gene
ABCC4,O15439,10257,target gene
TRPC7,Q9HCX4,57113,target gene
ABL2,P42684,27,target gene
DMPK,Q09013,1760,target gene
PTPN13,Q12923,5783,target gene
KHSRP,Q92945,8570,transcription factor and target gene
NPM1,P06748,4869,transcription factor and target gene
CDH1,P12830,999,target gene
EI24,O14681,9538,target gene
AMPD2,Q01433,271,target gene
TRPS1,Q9UHF7,7227,transcription factor and target gene
TNFRSF9,Q07011,3604,target gene
MYOD1,P15172,4654,transcription factor and target gene
SCAND1,P57086,51282,transcription factor
FUT4,P22083,2526,target gene
KIAA0586,Q9BVV6,9786,target gene
MAP3K12,Q12852,7786,target gene
CCL16,O15467,6360,target gene
P4HA1,P13674,5033,target gene
CHGB,P05060,1114,target gene
CD4,P01730,920,target gene
ACTN4,O43707,81,target gene
HSF2BP,O75031,11077,target gene
NTHL1,P78549,4913,target gene
SEPT5,Q99719,5413,target gene
GABRB3,P28472,2562,target gene
PLK4,O00444,10733,target gene
KAT2B,Q92831,8850,transcription factor and target gene
PURB,Q96QR8,5814,target gene
ECT2,Q9H8V3,1894,target gene
HMGB1,P09429,3146,target gene
IFNA1,L0N195,3439,target gene
BLK,P51451,640,target gene
HLA-DRB1,P01911,3123,target gene
SRI,P30626,6717,target gene
HMGB2,P26583,3148,transcription factor and target gene
PELO,Q9BRX2,53918,target gene
NDUFAF6,Q330K2,137682,target gene
RNF2,Q99496,6045,target gene
ERAP1,Q9NZ08,51752,target gene
PSMB1,P20618,5689,target gene
NR2C2,P49116,7182,transcription factor and target gene
TOP2A,P11388,7153,target gene
DRG1,Q9Y295,4733,target gene
KCNMA1,Q12791,3778,target gene
PWP1,Q13610,11137,target gene
STAT3,P40763,6774,transcription factor and target gene
MBNL1,Q9NR56,4154,target gene
EBI3,Q14213,10148,target gene
TNFRSF21,O75509,27242,target gene
TEAD1,P28347,7003,transcription factor and target gene
ACP5,P13686,54,target gene
SKIL,P12757,6498,transcription factor and target gene
BCL3,P20749,602,transcription factor and target gene
GRIN1,Q05586,2902,target gene
SMARCD3,Q6STE5,6604,target gene
PDXK,O00764,8566,target gene
WDFY4,Q6ZS81,57705,target gene
DPM2,O94777,8818,target gene
PLEKHB1,Q9UF11,58473,target gene
BIN1,O00499,274,transcription factor
SRPX2,O60687,27286,target gene
MAN2A2,P49641,4122,target gene
GNL3,Q9BVP2,26354,target gene
PLPPR1,Q8TBJ4,54886,target gene
TNFRSF11B,O00300,4982,target gene
ERCC8,Q13216,1161,target gene
TST,Q16762,7263,target gene
MUC4,Q99102,4585,target gene
FANCC,Q00597,2176,target gene
S100B,P04271,6285,target gene
CHRNB1,P11230,1140,target gene
MNDA,P41218,4332,target gene
ST3GAL3,Q11203,6487,target gene
GPX2,P18283,2877,target gene
RUVBL1,Q9Y265,8607,transcription factor
TNFRSF17,Q02223,608,target gene
PLAU,P00749,5328,target gene
SLC35F3,Q8IY50,148641,target gene
SP2,Q02086,6668,transcription factor
TAGLN,Q01995,6876,target gene
HSF4,Q9ULV5,3299,transcription factor
CYP2E1,P05181,1571,target gene
DAP3,P51398,7818,target gene
PCGF2,P35227,7703,transcription factor
PKLR,P30613,5313,target gene
ATP5F1B,P06576,506,target gene
GUCA2B,Q16661,2981,target gene
ENPP3,O14638,5169,target gene
SLC7A5,Q01650,8140,target gene
STMN2,Q93045,11075,target gene
IFNG,P01579,3458,target gene
HNF1A,P20823,6927,transcription factor and target gene
PTGIR,P43119,5739,target gene
GIPR,P48546,2696,target gene
GATA3,P23771,2625,transcription factor and target gene
HLA-B,P03989,-,target gene
FLT4,P35916,2324,target gene
MFNG,O00587,4242,target gene
CXCR4,P61073,7852,target gene
SERPINB9,P50453,5272,target gene
ENO2,P09104,2026,target gene
SLC39A8,Q9C0K1,64116,target gene
PODXL,O00592,5420,target gene
IQCK,Q8N0W5,124152,target gene
H2AFZ,P0C0S5,3015,target gene
NOTUM,Q6P988,147111,target gene
TFPT,P0C1Z6,29844,transcription factor
CDH6,P55285,1004,target gene
TMEM105,Q8N8V8,284186,target gene
MYOCD,Q8IZQ8,93649,transcription factor and target gene
HEXA,P06865,3073,target gene
IRF8,Q02556,3394,transcription factor and target gene
SPANXA1,Q9NS26,30014;728712,target gene
CCNA1,P78396,8900,target gene
APLNR,P35414,187,target gene
SLC13A3,Q8WWT9,64849,target gene
ARPC5L,Q9BPX5,81873,target gene
CA12,O43570,771,target gene
PAX1,P15863,5075,transcription factor
FXYD2,P54710,486,target gene
IDO1,P14902,3620,target gene
CSTF1,Q05048,1477,target gene
RPL6,Q02878,6128,target gene
PLEKHF2,Q9H8W4,79666,target gene
ACACB,O00763,32,target gene
SETD2,Q9BYW2,29072,target gene
HNRNPA2B1,P22626,3181,target gene
PARK7,Q99497,11315,target gene
NR4A2,P43354,4929,transcription factor and target gene
SLC22A9,Q8IVM8,114571,target gene
CCL11,P51671,6356,target gene
HLA-DRB4,P13762,3126,target gene
SURF6,O75683,6838,target gene
TDRD1,Q9BXT4,56165,target gene
DCTN3,O75935,11258,target gene
TGFB2,P61812,7042,target gene
BIRC5,O15392,332,target gene
TINF2,Q9BSI4,26277,target gene
MDH1,P40925,4190,target gene
EPHA3,P29320,2042,target gene
CD247,P20963,919,target gene
SAA1,P0DJI8,6288,target gene
PLA2G4A,P47712,5321,target gene
REG4,Q9BYZ8,83998,target gene
MCM7,P33993,4176,target gene
PES1,O00541,23481,target gene
CACNB1,Q02641,782,target gene
ZNF614,Q8N883,80110,target gene
SS18L1,O75177,26039,target gene
RBBP8,Q99708,5932,target gene
CASP8,Q14790,841,target gene
ATP6V1E1,P36543,529,target gene
LRBA,P50851,987,target gene
HNRNPAB,Q99729,3182,target gene
GRHL1,Q9NZI5,29841,transcription factor and target gene
SUPT3H,O75486,8464,transcription factor
TBXT,J3KP65,-,target gene
NFKBIB,Q15653,4793,transcription factor and target gene
VCP,P55072,7415,target gene
CCR1,P32246,1230,target gene
HLA-DQB1,P01920,3119,target gene
SLBP,Q14493,7884,target gene
FECH,P22830,2235,target gene
STIP1,P31948,10963,target gene
LAMTOR5,O43504,10542,target gene
SHMT1,P34896,6470,target gene
WDR25,Q64LD2,79446,target gene
VIPR1,P32241,7433,target gene
SLC9A1,P19634,6548,target gene
PPIG,Q13427,9360,target gene
THOC6,Q86W42,79228,target gene
MYCL,P12524,4610,target gene
F13A1,P00488,2162,target gene
BRPF1,P55201,7862,transcription factor
HYAL1,Q12794,3373,target gene
USF2,Q15853,7392,transcription factor and target gene
AGER,Q15109,177,target gene
RFC2,P35250,5982,target gene
SEMA6B,Q9H3T3,10501,target gene
HCFC1,P51610,3054,transcription factor and target gene
HNRNPA1,P09651,3178,target gene
TWIST2,Q8WVJ9,117581,transcription factor and target gene
ZNF543,Q08ER8,125919,target gene
DMRT1,Q9Y5R6,1761,target gene
ADIPOQ,Q15848,9370,target gene
G6PC2,Q9NQR9,57818,target gene
SYNGR2,O43760,9144,target gene
TAF4,O00268,6874,transcription factor and target gene
TSPAN31,Q12999,6302,target gene
CCND1,P24385,595,target gene
BCL9L,Q86UU0,283149,target gene
CREBL2,O60519,1389,target gene
THBS1,P07996,7057,target gene
CUX1,P39880,1523,transcription factor and target gene
ADGRE5,K7EPE8,-,target gene
CBFA2T3,O75081,863,transcription factor
ABCA1,O95477,19,target gene
PPARG,P37231,5468,transcription factor and target gene
MICB,Q29980,4277,target gene
PTK2B,Q14289,2185,target gene
UPF3B,Q9BZI7,65109,target gene
SLC28A2,O43868,9153,target gene
KIF4A,O95239,24137,target gene
CSE1L,P55060,1434,target gene
WNT1,P04628,7471,target gene
APEX1,P27695,328,transcription factor and target gene
DEK,P35659,7913,transcription factor and target gene
DCT,P40126,1638,target gene
CSAG1,Q6PB30,158511,target gene
MCM4,P33991,4173,target gene
POMGNT1,Q8WZA1,55624,target gene
PMS1,P54277,5378,target gene
YBX3,P16989,8531,target gene
PEA15,Q15121,8682,target gene
EIF3J,O75822,8669,target gene
BATF3,Q9NR55,55509,target gene
HIF3A,Q9Y2N7,64344,transcription factor
PPP2R2C,Q9Y2T4,5522,target gene
VIP,P01282,7432,target gene
PLIN1,O60240,5346,target gene
HLA-B,P30490,-,target gene
REG1A,P05451,5967,target gene
NCOA3,Q9Y6Q9,8202,transcription factor and target gene
MAT2B,Q9NZL9,27430,target gene
ISG20,Q96AZ6,3669,target gene
PTPRO,Q16827,5800,target gene
LAMB2,P55268,3913,target gene
LTBP1,Q14766,4052,target gene
CD7,P09564,924,target gene
PFN1,P07737,5216,target gene
CYB561D2,O14569,11068,target gene
HSF1,Q00613,3297,transcription factor and target gene
PWWP3A,Q2TAK8,84939,target gene
ZNF444,Q8N0Y2,55311,transcription factor
RRAS2,P62070,22800,target gene
SATB1,Q01826,6304,transcription factor and target gene
MKX,Q8IYA7,283078,target gene
SCARF1,Q14162,8578,target gene
TRIM69,Q86WT6,140691,target gene
MRTFA,Q969V6,57591,transcription factor
NEUROD1,Q13562,4760,transcription factor and target gene
APOA1,P02647,335,target gene
NRAS,P01111,4893,target gene
FABP2,P12104,2169,target gene
HMGCR,P04035,3156,target gene
TAF1B,Q53T94,9014,target gene
CNP,P09543,1267,target gene
NSUN5,Q96P11,55695,target gene
CREB3,O43889,10488,transcription factor and target gene
USO1,O60763,8615,target gene
ULBP1,Q9BZM6,80329,target gene
XAF1,Q6GPH4,54739,target gene
KLK10,O43240,5655,target gene
CHST4,Q8NCG5,10164,target gene
CPEB1,Q9BZB8,64506,target gene
MUC5AC,P98088,4586,target gene
ALAS1,P13196,211,target gene
IRS1,P35568,3667,target gene
MSH6,P52701,2956,target gene
RPA2,P15927,6118,target gene
GUCY2C,P25092,2984,target gene
KCNH4,Q9UQ05,23415,target gene
ANXA8,P13928,653145;728113,target gene
LIN54,Q6MZP7,132660,target gene
GAS8,O95995,2622,target gene
UGT2B4,P06133,7363,target gene
EGLN3,Q9H6Z9,112399,target gene
GCK,P35557,2645,target gene
ELK4,P28324,2005,transcription factor and target gene
HOXC13,P31276,3229,transcription factor and target gene
CGB5,A0A0F7RQF0,94027,target gene
HLA-A,P30512,-,target gene
CEP89,Q96ST8,84902,target gene
FXN,Q16595,2395,target gene
SYT1,P21579,6857,target gene
MAFB,Q9Y5Q3,9935,transcription factor
EIF4A1,P60842,1973,target gene
ITIH1,P19827,3697,target gene
ADARB2,Q9NS39,105,target gene
BGLAP,P02818,632,target gene
HSD3B2,P26439,3284,target gene
CDC5L,Q99459,988,transcription factor and target gene
SMARCA1,P28370,6594,transcription factor and target gene
PRPSAP1,Q14558,5635,target gene
FGF7,P21781,2252,target gene
OAS2,P29728,4939,target gene
MLXIPL,Q9NP71,51085,transcription factor
PAK1,Q13153,5058,target gene
LRP8,Q14114,7804,target gene
HLA-C,P30508,-,target gene
PKNOX1,P55347,5316,transcription factor
DPH2,Q9BQC3,1802,target gene
NKX6-1,P78426,4825,target gene
RGL3,Q3MIN7,57139,target gene
MEF2D,Q14814,4209,transcription factor and target gene
DDX10,Q13206,1662,target gene
FAH,P16930,2184,target gene
DPYD,Q12882,1806,target gene
HOXC11,O43248,3227,transcription factor
SLC25A11,Q02978,8402,target gene
PDCD5,O14737,9141,target gene
GABRA4,P48169,2557,target gene
CDCA7L,Q96GN5,55536,transcription factor
CFI,P05156,3426,target gene
PDX1,P52945,3651,transcription factor and target gene
KIT,P10721,3815,target gene
MAPRE2,Q15555,10982,target gene
PTGDS,P41222,5730,target gene
KLK14,Q9P0G3,43847,target gene
PRSS50,Q9UI38,29122,target gene
IRF4,Q15306,3662,transcription factor and target gene
GGT5,P36269,2687,target gene
IL27,Q8NEV9,246778,target gene
CREB5,Q02930,9586,transcription factor
MMP9,P14780,4318,target gene
ETV4,P43268,2118,transcription factor and target gene
GUSB,P08236,2990,target gene
GAST,P01350,2520,target gene
TMEM132A,Q24JP5,54972,target gene
CLDN7,O95471,1366,target gene
POLR1A,O95602,25885,transcription factor
LIPE,Q05469,3991,target gene
AKR1C2,P52895,1646,target gene
PPAT,Q06203,5471,target gene
HRH3,Q9Y5N1,11255,target gene
SOS1,Q07889,6654,target gene
INSR,P06213,3643,target gene
MCM2,P49736,4171,target gene
KLF12,Q9Y4X4,11278,transcription factor and target gene
RPS10,P46783,6204,target gene
QDPR,P09417,5860,target gene
SLC44A4,Q53GD3,80736,target gene
CHEK2,O96017,11200,target gene
DOCK1,Q14185,1793,target gene
ACSM5,Q6NUN0,54988,target gene
AHSG,P02765,197,target gene
ELL,P55199,8178,transcription factor and target gene
CASP8AP2,Q9UKL3,9994,target gene
SOX14,O95416,8403,target gene
HNF4A,P41235,3172,transcription factor and target gene
PTPRG,P23470,5793,target gene
FGFBP1,Q14512,9982,target gene
TYROBP,O43914,7305,target gene
EHMT2,Q96KQ7,10919,transcription factor
FLOT2,Q14254,2319,target gene
SNRNP40,Q96DI7,9410,target gene
BCKDHA,P12694,593,target gene
CAV2,P51636,858,target gene
MARK4,Q96L34,57787,target gene
DACH1,Q9UI36,1602,transcription factor and target gene
VEGFB,P49765,7423,target gene
MRPL3,P09001,11222,target gene
BMP8B,P34820,656,target gene
HLA-A,P30450,-,target gene
SLC39A1,Q9NY26,27173,target gene
THBS4,P35443,7060,target gene
DLG4,P78352,1742,target gene
CES1,P23141,1066,target gene
CASP1,P29466,834,target gene
TK1,P04183,7083,target gene
ITGAX,P20702,3687,target gene
CHD4,Q14839,1108,transcription factor and target gene
SPDEF,O95238,25803,transcription factor
HBA1,E1B2D1,-,target gene
FGF19,O95750,9965,target gene
TRB,A0A0C4ZPA0,-,target gene
TPH1,P17752,7166,target gene
CD8A,P01732,925,target gene
MFN2,O95140,9927,target gene
MOG,Q16653,4340,target gene
GLIS3,Q8NEA6,169792,transcription factor
LDB1,Q86U70,8861,transcription factor
SOX9,P48436,6662,transcription factor and target gene
IMPDH2,P12268,3615,target gene
TFAP2C,Q92754,7022,transcription factor and target gene
CFH,P08603,3075,target gene
ATP5PB,P24539,515,target gene
MGMT,P16455,4255,target gene
STOM,P27105,2040,target gene
MBD4,O95243,8930,target gene
HLA-DRB3,P79483,3125,target gene
JUP,P14923,3728,target gene
ART4,Q93070,420,target gene
TICAM1,Q8IUC6,148022,target gene
SLC7A1,P30825,6541,target gene
NF1,P21359,4763,transcription factor and target gene
PSMD6,Q15008,9861,target gene
ALPL,P05186,249,target gene
MMP13,P45452,4322,target gene
GC,P02774,2638,target gene
SLC13A5,Q86YT5,284111,target gene
EGLN2,Q96KS0,112398,target gene
TNFAIP6,P98066,7130,target gene
OCA2,Q04671,4948,target gene
TENT4A,Q5XG87,11044,target gene
ASB14,A6NK59,142686,target gene
TULP3,O75386,7289,target gene
SF3B2,Q13435,10992,target gene
SLCO4A1,Q96BD0,28231,target gene
HR,O43593,55806,transcription factor
TAF10,Q12962,6881,target gene
S100A4,P26447,6275,target gene
PRDX3,P30048,10935,target gene
PSMD14,O00487,10213,target gene
UGT1A9,O60656,54600,target gene
UBE2S,Q16763,27338,target gene
USP26,Q9BXU7,83844,target gene
HMGN2,P05204,3151,target gene
CALCA,P06881,796,target gene
HNRNPUL1,Q9BUJ2,11100,target gene
ZNF652,Q9Y2D9,22834,target gene
GPD2,P43304,2820,target gene
PSMA7,O14818,5688,target gene
MECOM,Q03112,2122,target gene
LAIR2,Q6ISS4,3904,target gene
DNMT3A,Q9Y6K1,1788,transcription factor and target gene
SULT1E1,P49888,6783,target gene
MUC2,Q02817,-,target gene
HINT1,P49773,3094,target gene
MLANA,Q16655,2315,target gene
MAFK,O60675,7975,transcription factor
PSCA,O43653,8000,target gene
NIP7,Q9Y221,51388,target gene
EXT2,Q93063,2132,target gene
RAD52,P43351,5893,target gene
PEF1,Q9UBV8,553115,target gene
MMP15,P51511,4324,target gene
IL15RA,Q13261,3601,target gene
CCL13,Q99616,6357,target gene
SYP,P08247,6855,target gene
NPHS1,O60500,4868,target gene
IL22,Q9GZX6,50616,target gene
JUN,P05412,3725,transcription factor and target gene
AIP,O00170,9049,transcription factor
CFAP20,Q9Y6A4,29105,target gene
COX6A2,Q02221,1339,target gene
DUX4,Q9UBX2,100288687;107987484;107987485;107987486;107987487,transcription factor and target gene
LIF,P15018,3976,target gene
RPL22,P35268,6146,target gene
GCFC2,P16383,6936,target gene
HOXB9,P17482,3219,transcription factor and target gene
PITX1,P78337,5307,transcription factor
ESD,P10768,2098,target gene
SCML4,Q8N228,256380,target gene
ADRA1A,P35348,148,target gene
ZMPSTE24,O75844,10269,target gene
MCPH1,Q8NEM0,79648,target gene
RPS6KB1,P23443,6198,target gene
CDC34,P49427,997,target gene
SCTR,P47872,6344,target gene
IL21R,Q9HBE5,50615,target gene
AOC2,O75106,314,target gene
SLC1A3,P43003,6507,target gene
UBE2C,O00762,11065,target gene
ACAA1,P09110,30,target gene
APRT,P07741,353,target gene
PDZK1IP1,Q13113,10158,target gene
FMO4,P31512,2329,target gene
DNASE2,O00115,1777,target gene
POU4F1,Q01851,5457,transcription factor and target gene
HLA-A,P30447,-,target gene
CA9,Q16790,768,target gene
PLCG1,P19174,5335,target gene
HOXB7,P09629,3217,transcription factor and target gene
PRDX5,P30044,25824,target gene
GTF3C1,Q12789,2975,target gene
VDAC2,P45880,7417,target gene
HNRNPD,Q14103,3184,transcription factor and target gene
FLII,Q13045,2314,target gene
ADA,P00813,100,target gene
TRERF1,Q96PN7,55809,transcription factor and target gene
NOS2,P35228,4843,target gene
ARHGEF7,Q14155,8874,target gene
SESN2,P58004,83667,target gene
NDUFS1,P28331,4719,target gene
CIITA,P33076,4261,transcription factor and target gene
ADRA1B,P35368,147,target gene
DGKB,Q9Y6T7,1607,target gene
VEGFC,P49767,7424,target gene
DRD1,P21728,1812,target gene
AURKB,Q96GD4,9212,target gene
PAX3,P23760,5077,transcription factor and target gene
CYP4A11,Q02928,1579,target gene
SGSH,P51688,6448,target gene
BHLHE41,Q9C0J9,79365,transcription factor and target gene
CDKN2C,P42773,1031,target gene
MPHOSPH6,Q99547,10200,target gene
TCEAL1,Q15170,9338,target gene
CTSH,P09668,1512,target gene
EVPL,Q92817,2125,target gene
SPRY2,O43597,10253,target gene
ZNF205,O95201,7755,target gene
CEBPB,P17676,1051,transcription factor and target gene
CD80,P33681,941,target gene
HERC2,O95714,8924,target gene
BECN1,Q14457,8678,target gene
DPM1,O60762,8813,target gene
AQP1,P29972,358,target gene
TLR8,Q9NR97,51311,target gene
IL1RN,P18510,3557,target gene
IKZF1,Q13422,10320,transcription factor and target gene
HPSE2,Q8WWQ2,60495,target gene
CFB,P00751,629,target gene
EFNB3,Q15768,1949,target gene
STAT4,Q14765,6775,transcription factor and target gene
SHMT2,P34897,6472,target gene
PSMD7,P51665,5713,target gene
IL6ST,P40189,3572,target gene
NDUFS6,O75380,4726,target gene
SALL4,Q9UJQ4,57167,transcription factor and target gene
HLA-DMA,P28067,-,target gene
LIFR,P42702,3977,target gene
BCAS3,Q9H6U6,54828,target gene
SEPHS1,P49903,22929,target gene
CYP1A2,P05177,1544,target gene
DRAM1,Q8N682,55332,target gene
AEBP1,Q8IUX7,165,target gene
NRP1,O14786,8829,target gene
TAF1,P21675,6872,transcription factor
RIDA,P52758,10247,target gene
HLA-DRB1,Q29974,3123,target gene
LCN2,P80188,3934,target gene
STX16,O14662,8675,target gene
CNPY2,Q9Y2B0,10330,target gene
HLA-B,P18463,-,target gene
CRH,P06850,1392,target gene
