Protein name,Uniprot ID,NCBI Gene ID,Function,Small-scale evidence,Number of interactions
kni,P10734,40287,transcription factor and target gene,Yes,45
ci,P19538,43767,transcription factor and target gene,Yes,97
da,P11420,34413,transcription factor and target gene,Yes,78
Hr39,Q05192,35398,transcription factor and target gene,Yes,283
cad,P09085,35341,transcription factor and target gene,Yes,95
eve,P06602,36039,transcription factor and target gene,Yes,39
Dref,Q94883,34328,transcription factor and target gene,Yes,9510
twi,P10627,37655,transcription factor and target gene,Yes,1106
gt,P39572,31227,transcription factor and target gene,Yes,416
Sp1,M9PJG1,31913,transcription factor and target gene,Yes,24
ind,Q7KUL4,2768974,transcription factor and target gene,Yes,15
E(spl)m5-HLH,P13096,43158,transcription factor and target gene,Yes,16
Med,O62609,43725,transcription factor and target gene,Yes,2806
hth,O46339,41273,transcription factor and target gene,Yes,158
ftz,P02835,40834,transcription factor and target gene,Yes,22
Rel,Q94527,41087,transcription factor and target gene,Yes,42
ovo,P51521,31429,transcription factor and target gene,Yes,40
vri,Q9VMS4,33759,transcription factor and target gene,Yes,36
sv,O16117,43825,transcription factor and target gene,Yes,46
Stat92E,Q24151,42428,transcription factor and target gene,Yes,105
sob,Q9VQS7,33581,transcription factor and target gene,Yes,28
z,P09956,31230,transcription factor and target gene,Yes,34
lbe,Q7KS77,42542,transcription factor and target gene,Yes,88
Trf,Q27896,34102,transcription factor and target gene,Yes,23
so,Q27350,35662,transcription factor and target gene,Yes,2616
dve,Q9W268,37546,transcription factor and target gene,Yes,62
exd,P40427,32567,transcription factor and target gene,Yes,60
mamo,Q9VY72,32353,transcription factor and target gene,Yes,48
Mef2,P40791,36032,transcription factor and target gene,Yes,66
cic,Q9U1H0,53560,transcription factor and target gene,Yes,215
fkh,P14734,43383,transcription factor and target gene,Yes,203
Ubx,P83949,42034,transcription factor and target gene,Yes,4563
opa,P39768,40605,transcription factor and target gene,Yes,52
insv,Q8SYK5,33441,transcription factor and target gene,Yes,33
shn,A0A0B4KFC0,36171,transcription factor and target gene,Yes,71
Abd-B,P09087,47763,transcription factor and target gene,Yes,1383
Hr38,P49869,35332,transcription factor and target gene,Yes,27
ct,P10180,44540,transcription factor and target gene,Yes,45
Awh,Q8IRC7,38451,transcription factor and target gene,Yes,22
gsb-n,P09083,38004,transcription factor and target gene,Yes,20
abd-A,P29555,42037,transcription factor and target gene,Yes,1209
CG9895,Q9W1W2,37654,transcription factor and target gene,Yes,21
br,Q24206,44505,transcription factor and target gene,Yes,36
pnt,P51023,42757,transcription factor and target gene,Yes,97
EcR,P34021,35540,transcription factor and target gene,Yes,86
aop,Q01842,33392,transcription factor and target gene,Yes,201
ftz-f1,P33244,40045,transcription factor and target gene,Yes,225
tll,P18102,43656,transcription factor and target gene,Yes,22
ac,P10083,30981,transcription factor and target gene,Yes,34
ato,P48987,40975,transcription factor and target gene,Yes,25
sna,P08044,34908,transcription factor and target gene,Yes,34
bap,P22809,42537,transcription factor and target gene,Yes,18
run,P22814,33059,transcription factor and target gene,Yes,28
sc,P10084,30982,transcription factor and target gene,Yes,113
mirr,M9PI45,39441,transcription factor and target gene,Yes,44
bin,Q9VS05,38766,transcription factor and target gene,Yes,8
pan,Q8IMA8,43769,transcription factor and target gene,Yes,116
sd,P30052,32536,transcription factor and target gene,Yes,93
sens,Q9N658,45328,transcription factor and target gene,Yes,29
E(spl)m7-HLH,P13097,43160,transcription factor and target gene,Yes,34
bcd,P09081,40830,transcription factor and target gene,Yes,430
h,P14003,38995,transcription factor and target gene,Yes,14
pho,Q8ST83,43819,transcription factor and target gene,Yes,9423
Top2,P15348,35225,transcription factor and target gene,Yes,58
kn,P56721,45318,transcription factor and target gene,Yes,42
pnr,P52168,44849,transcription factor and target gene,Yes,56
zld,Q9VWC6,32994,transcription factor and target gene,Yes,159
kay,P21525,3772082,transcription factor and target gene,Yes,59
Antp,P02833,40835,transcription factor and target gene,Yes,169
chn,Q7YU81,36678,transcription factor and target gene,Yes,202
slp1,P32030,33607,transcription factor and target gene,Yes,32
l(1)sc,P09774,30983,transcription factor and target gene,Yes,9
MTF-1,A8JNP3,39089,transcription factor and target gene,Yes,55
Kr,P07247,38012,transcription factor and target gene,Yes,270
dl,P15330,35047,transcription factor and target gene,Yes,2186
Xbp1,Q8MLW7,44226,transcription factor and target gene,Yes,28
E2f1,Q27368,42550,transcription factor and target gene,Yes,58
Deaf1,Q24180,40164,transcription factor and target gene,Yes,49
Ouib,Q9VHM6,41039,transcription factor,Yes,23
Spps,A0A0B4KHC8,42882,transcription factor and target gene,Yes,1491
Klf15,Q0IGQ2,31410,transcription factor and target gene,Yes,153
Eip74EF,P11536,39962,transcription factor and target gene,Yes,49
Kr-h1,P08155,33861,transcription factor and target gene,Yes,33
slbo,Q02637,37889,transcription factor and target gene,Yes,15
Trl,Q08605,2768981,transcription factor and target gene,Yes,5290
Fs(2)Ket,O18388,35336,transcription factor and target gene,Yes,22
acj6,P24350,47080,transcription factor and target gene,Yes,20
rn,Q9VI93,40879,transcription factor and target gene,Yes,18
CrebA,P29747,39682,transcription factor and target gene,Yes,44
btd,Q24266,31912,transcription factor and target gene,Yes,47
E(spl)m3-HLH,Q01068,43156,transcription factor and target gene,Yes,91
tgo,O15945,41084,transcription factor and target gene,Yes,37
Hsf,P22813,37068,transcription factor and target gene,Yes,550
Adf1,P05552,47082,transcription factor and target gene,Yes,897
org-1,Q9W3F4,31778,transcription factor and target gene,Yes,31
onecut,Q9NJB5,45816,transcription factor and target gene,Yes,19
dar1,Q9VZN4,38436,transcription factor and target gene,Yes,25
D,Q24533,39570,transcription factor and target gene,Yes,35
luna,Q8MR37,2768719,transcription factor and target gene,Yes,93
brk,Q9XTN4,31665,transcription factor and target gene,Yes,1920
apt,A0A0B4KGD0,37734,transcription factor and target gene,Yes,68
foxo,Q95V55,41709,transcription factor and target gene,Yes,93
cwo,Q9VGZ5,44669,transcription factor and target gene,Yes,35
E(spl)mbeta-HLH,Q01069,43152,transcription factor and target gene,Yes,56
Blimp-1,M9PBR0,38638,transcription factor and target gene,Yes,20
nub,P31368,34669,transcription factor and target gene,Yes,55
gl,P13360,42210,transcription factor and target gene,Yes,25
Pph13,Q9XZU0,33239,transcription factor and target gene,Yes,19
bab1,Q9W0K7,38116,transcription factor and target gene,Yes,11
gcm,Q27403,34277,transcription factor and target gene,Yes,39
Fer1,A0A0B4KFD8,2768661,transcription factor and target gene,Yes,12
ND-B17.2,Q9VQD7,33443,transcription factor and target gene,Yes,15
Dys,Q9VDW6,42327,transcription factor and target gene,Yes,48
Aef1,P39413,40370,transcription factor and target gene,Yes,35
Doc1,Q9U8L5,39039,transcription factor and target gene,Yes,30
ro,P10181,43234,transcription factor and target gene,Yes,74
Hr3,P31396,36073,transcription factor and target gene,Yes,42
ase,P09775,30985,transcription factor and target gene,Yes,7
ttk,P42282,48317,transcription factor and target gene,Yes,59
lab,P10105,40817,transcription factor and target gene,Yes,52
bowl,Q9VQU9,33602,transcription factor and target gene,Yes,37
E(spl)mgamma-HLH,Q01070,43151,transcription factor and target gene,Yes,71
Scr,P09077,40833,transcription factor and target gene,Yes,62
Nf-YA,Q9VSY9,39091,transcription factor and target gene,Yes,43
sim,P05709,41612,transcription factor and target gene,Yes,21
ap,P29673,35509,transcription factor and target gene,Yes,51
mid,Q9VMR2,33770,transcription factor and target gene,Yes,47
CHES-1-like,Q9W3Q5,31678,transcription factor and target gene,Yes,94
ems,P18488,41697,transcription factor and target gene,Yes,45
dpn,Q26263,35800,transcription factor and target gene,Yes,53
nau,P22816,42799,transcription factor and target gene,Yes,13
-,Q95RH8,-,transcription factor and target gene,Yes,15
BcDNA:LD28680,Q8IPF7,319012,transcription factor and target gene,Yes,15
E(spl)mdelta-HLH,Q01071,43150,transcription factor and target gene,Yes,38
disco,P23792,32579,transcription factor and target gene,Yes,65
zfh1,P28166,43650,transcription factor and target gene,Yes,38
vnd,P22808,31003,transcription factor and target gene,Yes,16
Pdp1,Q24217,45588,transcription factor and target gene,Yes,263
C15,Q7KS72,42544,transcription factor and target gene,Yes,252
pdm3,A0A0B4JD55,35813,transcription factor and target gene,Yes,46
Myb,P04197,32543,transcription factor and target gene,Yes,36
cbt,Q9VPQ5,33224,transcription factor and target gene,Yes,41
byn,P55965,39349,transcription factor and target gene,Yes,12
dwg,Q9W4V9,31265,transcription factor and target gene,Yes,31
Myc,Q9W4S7,31310,transcription factor and target gene,No,12759
mod(mdg4),Q86B87,49228,transcription factor and target gene,No,3969
Su(var)205,P05205,34119,transcription factor and target gene,No,10308
emc,P18491,38091,transcription factor and target gene,Yes,119
Nup98-96,Q9VCH5,42816,transcription factor and target gene,No,4671
Chro,Q86BS3,40508,transcription factor and target gene,No,6174
msl-1,P50535,35121,transcription factor and target gene,No,6655
shep,Q8MSV2,38605,transcription factor and target gene,No,3738
ZIPIC,Q9VAB8,43566,transcription factor and target gene,No,4676
Ada2b,Q8I8V0,40966,transcription factor and target gene,No,2527
lark,Q94901,38811,transcription factor and target gene,No,5611
Top3beta,O96651,31565,transcription factor and target gene,No,12454
Nipped-B,Q7PLI2,3355136,transcription factor and target gene,No,8771
Cp190,Q24478,41848,transcription factor and target gene,No,10671
ash1,Q9VW15,40133,transcription factor and target gene,No,10909
TfIIB,P29052,34430,transcription factor and target gene,No,9835
cnc,P20482,42743,transcription factor and target gene,No,539
Psc,P35820,36431,transcription factor and target gene,No,8834
Tet,M9NEY8,38347,transcription factor and target gene,No,279
Orc2,Q24168,41703,transcription factor and target gene,Yes,6117
AGO2,Q9VUQ5,39683,transcription factor and target gene,No,9940
TfIIA-L,P52654,43284,transcription factor and target gene,No,9612
CycG,Q95TJ9,43724,transcription factor and target gene,No,1351
gfzf,Q6NP69,40858,transcription factor and target gene,No,765
Or59b,Q9W1P8,37715,transcription factor and target gene,Yes,431
Clamp,Q8IGP5,35445,transcription factor and target gene,No,1983
Dsp1,Q24537,117294,transcription factor and target gene,No,284
wapl,Q9W517,31187,transcription factor and target gene,No,1128
Brca2,Q9W157,37916,transcription factor and target gene,No,1155
msl-2,P50534,33565,transcription factor and target gene,No,3891
mof,O02193,31518,transcription factor and target gene,No,8057
DnaJ-1,Q24133,38643,transcription factor and target gene,No,1445
Raf,P11346,31221,transcription factor and target gene,Yes,7757
JIL-1,Q9V3I5,39241,transcription factor and target gene,No,6259
l(3)mbt,Q9VB52,43288,transcription factor and target gene,No,4950
Su(z)12,Q9NJG9,48071,transcription factor and target gene,No,1905
Rbf,Q24472,31027,transcription factor and target gene,No,2589
zfh2,P28167,43795,transcription factor and target gene,No,449
fs(1)h,P13709,31722,transcription factor and target gene,No,9888
Mlf,Q9NKV0,36750,transcription factor and target gene,No,2619
not,Q9VVR1,40030,transcription factor and target gene,No,3294
Cdc45,O96989,31052,transcription factor and target gene,No,533
nej,M9MS40,43856,transcription factor and target gene,No,3777
FBgn 32517,Q9VJY7,34753,transcription factor and target gene,No,1785
Pc,P26017,40358,transcription factor and target gene,No,8372
pb,P31264,40826,transcription factor and target gene,No,91
rhi,Q7JXA8,44879,transcription factor and target gene,No,2856
Tbp,P20227,37476,transcription factor and target gene,Yes,3282
Trf2,Q07DP5,31773,transcription factor and target gene,No,1655
Ibf1,Q9VHG5,41103,transcription factor and target gene,No,2121
Ibf2,Q9VHG6,41102,transcription factor and target gene,No,1517
E(z),P42124,39203,transcription factor and target gene,No,370
Nelf-E,P92204,38982,transcription factor and target gene,No,4567
Act5C,P10987,31521,transcription factor and target gene,No,7102
ph-p,P39769,31181,transcription factor and target gene,No,2039
CG5135,Q9VGQ5,41355,transcription factor and target gene,No,44
Lpt,Q9W1H0,37795,transcription factor and target gene,No,1728
Dmel\CG7786,A1ZAC2,36802,transcription factor and target gene,No,73
pds5,A1Z8S6,36286,transcription factor and target gene,No,1836
su(Hw),P08970,41740,transcription factor and target gene,No,2623
Hnf4,P49866,44544,transcription factor and target gene,No,821
trr,Q8IRW8,31149,transcription factor and target gene,No,7210
NC2beta,Q9VJQ5,34875,transcription factor and target gene,No,189
wds,Q9V3J8,53428,transcription factor and target gene,No,1039
psq,A1Z8A6,36118,transcription factor and target gene,No,352
pzg,Q9VP57,40351,transcription factor and target gene,No,3735
crc,Q9VID3,47767,transcription factor and target gene,No,66
woc,A8JRE3,47249,transcription factor and target gene,No,1735
Hmr,Q86CW5,31988,transcription factor and target gene,No,606
E(var)3-9,Q9VHJ3,41073,transcription factor and target gene,No,253
REPTOR,Q9VC61,42930,transcription factor and target gene,No,218
CTCF,Q9VS55,38817,transcription factor and target gene,No,4388
Sgf11,Q9VVR6,40035,transcription factor and target gene,No,4740
yki,Q45VV3,37851,transcription factor and target gene,No,716
cuff,Q9V629,36269,transcription factor and target gene,No,1479
Dmel\CG3163,Q9W1C8,37836,transcription factor and target gene,No,95
anon-96CDa,Q9VBR8,43070,transcription factor and target gene,No,138
trx,P20659,41737,transcription factor and target gene,No,1136
mago,P49028,37402,transcription factor and target gene,No,80
Elys,Q9VWE6,32971,transcription factor and target gene,No,236
MESR4,A1ZAV3,36986,transcription factor and target gene,No,389
her,Q9VJJ6,34992,transcription factor and target gene,No,246
topi-RA,T2FFH5,41199,transcription factor,No,180
Dmel\CG17186,Q9VDT2,42363,transcription factor and target gene,No,155
Sry-delta,P07664,43572,transcription factor and target gene,No,1208
ash2,Q94545,42936,transcription factor and target gene,No,209
Sox14,P40656,37822,transcription factor and target gene,No,159
Sry-beta,P07665,43570,transcription factor and target gene,No,194
prg,Q9VLK8,34177,transcription factor and target gene,No,280
unpg,Q4V5A3,35942,transcription factor and target gene,No,200
dmrt93B,Q9VDF1,42494,transcription factor and target gene,No,98
lilli,Q9VQI9,33496,transcription factor and target gene,No,469
Cg4707,Q9W137,37935,transcription factor and target gene,No,146
Bdp1,Q9VJZ3,34748,transcription factor and target gene,No,106
Dmel\CG4854,Q9VDQ5,42391,transcription factor and target gene,No,253
Mes4,Q9W256,37560,transcription factor and target gene,Yes,44
barr,Q9VIP9,35287,transcription factor and target gene,No,721
nom,Q9VHM7,41038,transcription factor and target gene,No,100
kmg,Q9VK36,34706,transcription factor and target gene,No,21
lid,Q9VMJ7,33837,transcription factor and target gene,No,878
Smox,O96660,31738,transcription factor and target gene,No,826
bigmax,Q9VB47,43293,transcription factor and target gene,No,149
dsf,Q9VML1,33823,transcription factor and target gene,No,72
Usf,Q9W4J8,31384,transcription factor and target gene,No,150
I-3,Q9VRC5,33068,transcription factor and target gene,No,89
fd96Cb,P32029,43011,transcription factor and target gene,No,141
Dmel\CG8478,E1JIH4,41194,transcription factor and target gene,No,309
Rrp40,Q8IPX7,319033,transcription factor and target gene,No,702
cyc,O61734,40162,transcription factor and target gene,No,181
esg,P25932,34903,transcription factor and target gene,No,135
Dmel\CG3995,Q9VEP0,42057,transcription factor and target gene,No,391
Jarid2,Q9VT00,39103,transcription factor and target gene,No,404
CG15295,Q9W2T1,31991,transcription factor and target gene,No,60
-,Q9VVA0,39875,transcription factor and target gene,No,118
ab,Q24174,34560,transcription factor and target gene,No,379
HLH54F,Q0IGU7,37027,transcription factor and target gene,No,88
Dmel\CG1792,Q9V9V8,43727,transcription factor and target gene,No,94
Dmel\CG6254,Q9VH18,41244,transcription factor and target gene,No,75
Dlip3,Q7JZD5,53579,transcription factor and target gene,No,160
Rrp6,Q9VFF3,41798,transcription factor and target gene,No,177
del,Q9VIF5,35380,transcription factor and target gene,No,49
stwl,Q9VUE5,39581,transcription factor and target gene,No,158
msl-3,P50536,38779,transcription factor and target gene,No,440
N,P07207,31293,transcription factor and target gene,No,223
Dmel\CG12942,Q7JW60,36158,transcription factor and target gene,No,130
Dmel\CG12659,Q9W3D4,50403,transcription factor and target gene,No,28
Dmel\CG17802,Q8SX40,42143,transcription factor and target gene,No,252
anon-63BC-T3,Q960J7,38388,transcription factor and target gene,No,92
HDAC1,Q94517,38565,transcription factor and target gene,No,102
mle,P24785,35523,transcription factor and target gene,No,330
tx,P41894,43190,transcription factor and target gene,No,476
Hand,Q9VL05,34379,transcription factor and target gene,Yes,23
Dmel\CG17385,Q4V6X9,36603,transcription factor and target gene,No,76
Dmel\CG9609,Q9VXB4,32663,transcription factor and target gene,No,81
M1BP,Q9VHM3,41042,transcription factor and target gene,No,33
gro,P16371,43162,transcription factor and target gene,No,642
smt3,O97102,33981,transcription factor and target gene,No,123
Dp,Q24318,36461,transcription factor and target gene,No,190
CG6913,C0MK09,41411,transcription factor,No,84
crp,Q9V406,34956,transcription factor and target gene,No,438
Ets97D,Q04688,43236,transcription factor and target gene,No,278
Dmel\CG15514,Q9VAF2,43531,transcription factor and target gene,No,287
11723,Q9VQ77,33388,transcription factor and target gene,No,426
Dmel\CG4820,A8JQX6,41344,transcription factor and target gene,No,71
Cap-H2,Q8INL2,41289,transcription factor and target gene,No,256
PHDP,Q9W1H7,37788,transcription factor and target gene,No,43
Coop,Q7JUZ9,35677,transcription factor and target gene,No,75
BcDNA:SD07008,M9NEU8,35260,transcription factor and target gene,No,87
tHMG1,Q9VCZ5,42650,transcription factor and target gene,No,170
Dad,Q5U110,42059,transcription factor and target gene,Yes,81
salm,P39770,34569,transcription factor and target gene,Yes,60
Snoo,Q00G30,5740414,transcription factor and target gene,No,177
Dmel\CG6654,Q9VFB9,41831,transcription factor and target gene,No,176
Dmel\CG12744,E2QC93,36024,transcription factor,No,44
Dmel\CG30431,Q4V6Y7,35549,transcription factor and target gene,No,66
Dmel\CG10669,Q9VBR9,43069,transcription factor and target gene,No,60
scrt,Q9VZK2,38469,transcription factor and target gene,No,56
NK7.1,Q9VFK4,41747,transcription factor and target gene,No,52
Dmel\CG17806,Q9VEF3,42142,transcription factor and target gene,No,111
bsh,Q04787,35266,transcription factor and target gene,No,385
CC8,Q7K3E9,36210,transcription factor and target gene,No,52
CG4639,Q8T051,42736,transcription factor and target gene,No,103
Dmel\CG12155,Q9W3Q2,31682,transcription factor and target gene,No,90
Dmel\CG8301,Q9VHA9,41160,transcription factor and target gene,No,142
Nep2,A0A0B4K692,40588,transcription factor and target gene,No,335
Sidpn,Q9VJ16,35168,transcription factor and target gene,No,90
hng1,Q9W2K3,37412,transcription factor and target gene,No,143
NfI,Q86P06,43782,transcription factor and target gene,No,60
Dmel\CG18011,Q7K1V0,36068,transcription factor and target gene,No,226
YL-1,Q9VKM6,34516,transcription factor and target gene,No,29
Zaf1,Q7YZ91,41394,transcription factor and target gene,No,74
slou,P22807,42547,transcription factor and target gene,No,20
Met,Q9VYW2,32114,transcription factor and target gene,No,61
Dmel\CG12236,Q9W458,31523,transcription factor and target gene,No,86
Dmel\CG1894,Q9VAV6,43378,transcription factor and target gene,No,138
Dmel\CG9876,Q9W1U7,37668,transcription factor and target gene,No,48
Dmel\CG13894,Q9W0N5,38086,transcription factor and target gene,No,69
LD05530,B7Z0N0,192508,transcription factor and target gene,No,173
Dmel\CG4318,Q9VYG4,32266,transcription factor and target gene,No,54
Atf-2,Q2PE13,37978,transcription factor and target gene,No,76
Dmel\CG15073,A1ZBC5,37155,transcription factor and target gene,No,88
Plzf,Q9VKC4,34622,transcription factor and target gene,No,68
OdsH,Q9VX20,32758,transcription factor and target gene,No,198
slp2-RA,H5V8D4,33608,transcription factor,No,114
pum,P25822,41094,transcription factor and target gene,No,202
Hr51,A1ZA01,36702,transcription factor and target gene,No,86
Su(var)2-HP2,A1Z9S6,36621,transcription factor and target gene,No,271
tj,M9PG80,35227,transcription factor and target gene,No,12
Dmel\CG7556,Q9VWL4,32902,transcription factor and target gene,No,103
MED30,Q9W0P3,38078,transcription factor and target gene,No,77
-,Q9VHS8,40987,transcription factor and target gene,No,31
Br140,Q7JVP4,35648,transcription factor and target gene,No,141
EG:BACR42I17.11,Q9V3X8,31070,transcription factor and target gene,No,67
CG15703,A1ZAC8,36811,transcription factor and target gene,No,122
gcm2,Q9VLA2,34280,transcription factor and target gene,No,227
brm,P25439,39744,transcription factor and target gene,No,126
Ell,Q9VW51,40171,transcription factor and target gene,No,105
BigH1,Q8MSC4,41780,transcription factor and target gene,No,54
sxc,Q7KJA9,35486,transcription factor and target gene,No,57
Dmel\CG7101,Q9VWP7,32875,transcription factor and target gene,No,133
Meics,O96395,39539,transcription factor and target gene,No,87
bab2,Q9W0K4,44254,transcription factor and target gene,Yes,114
schlank,Q9W423,50392,transcription factor and target gene,No,39
Dmel\CG8319,Q9VHA4,41165,transcription factor and target gene,No,60
row,A0A0B4KER0,36685,transcription factor and target gene,No,203
CG2120-RA,Q0IGR3,31737,transcription factor and target gene,No,30
Dmel\CG13204,A1Z8K2,36227,transcription factor and target gene,No,55
CG17822,Q9VGK1,41404,transcription factor and target gene,No,122
Dmel\CG2116,Q9W3J9,31735,transcription factor and target gene,No,143
CG12260,Q9VAY8,338395,transcription factor and target gene,No,46
Taf1,P51123,40813,transcription factor and target gene,No,66
Dmel\CG8281,Q9VSB8,38880,transcription factor and target gene,No,149
cato,Q0IGT4,36813,transcription factor and target gene,No,67
Dmel\CG10274,A8JNL9,38716,transcription factor and target gene,No,88
pad,Q9VEW6,41981,transcription factor and target gene,No,75
Mondo,Q9VID4,35402,transcription factor and target gene,No,94
Dmel\CG17359,Q9VUB3,39549,transcription factor and target gene,No,16
MED1,Q9VP05,40403,transcription factor and target gene,No,54
ADD1,A1Z8R2,36278,transcription factor and target gene,No,35
toe,Q8T0M4,39418,transcription factor and target gene,No,50
E(bx),Q9W0T1,44811,transcription factor and target gene,No,185
Hr78,Q24142,40378,transcription factor and target gene,No,158
repo,Q7KSE4,47285,transcription factor and target gene,Yes,31
grn,P91623,40962,transcription factor and target gene,No,122
Hr96,Q24143,42993,transcription factor and target gene,No,54
velo,Q9VRY4,38748,transcription factor and target gene,No,90
ewg,Q24312,30975,transcription factor and target gene,No,152
Dp1,Q7KN75,37116,transcription factor and target gene,No,77
Dmel\CG4282,Q8T092,36825,transcription factor and target gene,No,73
Eip78C,P45447,40345,transcription factor and target gene,No,204
CG32264-RB,D4G7A5,38438,transcription factor and target gene,No,85
zf30C,Q9VL91,34292,transcription factor and target gene,No,95
chif,Q9NK54,34974,transcription factor and target gene,No,114
sage,Q9VHG3,41105,transcription factor and target gene,Yes,23
caup,P54269,39440,transcription factor and target gene,Yes,56
CTPsyn,Q9VUL1,39645,transcription factor and target gene,No,49
Vps25,Q7JXV9,35847,transcription factor and target gene,No,51
D19B,Q9VRV4,38717,transcription factor and target gene,No,123
tin-RA,B6IDS0,42536,transcription factor,No,50
Atf3,Q9XZS8,43867,transcription factor and target gene,No,57
Dmel\CG30403,Q8MLV3,246595,transcription factor and target gene,No,14
Dmel\CG18764,Q9I7J8,59239,transcription factor and target gene,No,40
Set1,Q5LJZ2,3354971,transcription factor and target gene,No,56
Pif1B,Q9VHL6,3771985,transcription factor and target gene,No,83
Ets65A,P29774,38700,transcription factor and target gene,No,170
hng2,Q9VHL0,41056,transcription factor and target gene,No,50
Dmel\CG5245,Q9VG72,41530,transcription factor and target gene,No,69
Six4,Q9Y1P6,40297,transcription factor and target gene,No,60
mam,P21519,36555,transcription factor and target gene,No,114
disco-r,Q9VXJ5,64875,transcription factor and target gene,No,80
Dmel\CG11617,Q9VPL4,33183,transcription factor and target gene,No,63
Hey,Q7KM13,35764,transcription factor and target gene,No,27
HmgZ,Q06943,37480,transcription factor and target gene,No,146
Eip75B,P13055,39999,transcription factor and target gene,Yes,92
Chrac-16,Q9V452,32166,transcription factor and target gene,No,42
Rabex-5,Q9W0H9,38144,transcription factor and target gene,No,52
Pi3K92E,P91634,42446,transcription factor and target gene,No,36
Cap-D3,Q9VMQ4,33778,transcription factor and target gene,No,19
exex,Q9VSC2,38884,transcription factor and target gene,No,50
Dmel\CG9948,Q9VRZ6,38757,transcription factor and target gene,No,63
salr,Q9VKH3,34568,transcription factor and target gene,No,71
Neu2,B6VQ99,40375,transcription factor and target gene,No,14
cid,Q9V6Q2,36495,transcription factor and target gene,No,86
aly,Q2PNM9,-,transcription factor,No,19
Ice1,Q9W1R4,37701,transcription factor and target gene,No,83
tsu,Q9V535,35924,transcription factor and target gene,No,31
Lhr,Q95RV3,36957,transcription factor and target gene,No,33
Dmel\CG1602,Q8MSB3,35684,transcription factor and target gene,No,49
B-H2,Q24256,32723,transcription factor and target gene,No,98
DS00797.6,Q0E8Q6,34784,transcription factor and target gene,No,27
Dmel\CG31627,Q8INU1,318860,transcription factor and target gene,No,76
MRG15,Q9Y0I1,41850,transcription factor and target gene,No,25
DM27,Q9VK15,34725,transcription factor and target gene,No,39
Ndf,Q8T079,192507,transcription factor and target gene,No,48
Dmel\CG10565,Q9VP77,40332,transcription factor and target gene,No,51
sqz-RA,U3PU53,42300,transcription factor,No,2
anon-WO0118547.245,Q29R10,41768,transcription factor and target gene,No,104
Mi-2,O97159,40170,transcription factor and target gene,No,37
sima,Q24167,43580,transcription factor and target gene,No,59
Dmel\CG2875,Q9W4R1,31326,transcription factor and target gene,No,40
1,Q9VGG0,41445,transcription factor and target gene,No,51
fd59A,Q02361,37631,transcription factor and target gene,No,10
tai,M9ND53,34242,transcription factor and target gene,No,61
Dmel\CG10631,Q9VIS5,35262,transcription factor and target gene,No,39
Vsx1,Q9W4B2,31470,transcription factor and target gene,No,62
Hr83,Q9VI12,40783,transcription factor and target gene,No,59
Kah,Q9W0P9,38072,transcription factor and target gene,No,79
Prdm13,Q9VRV0,38713,transcription factor and target gene,No,7
Alg11,Q9VP06,40402,transcription factor and target gene,No,59
-,Q7K2L3,-,transcription factor and target gene,No,5
